0318 0158 0000 0000
0311 0000 0000 0000
02bf 0000 0031 0000
0488 0000 0000 0000
04dd 0000 0000 0000
0eb7 0000 0000 0000
1002 0000 0000 0137
0ac1 0000 0000 0000
073b 0000 0000 0000
0000 0000 0659 0000
0000 0000 0a6c 0000
0000 0000 0baf 0000
0000 0000 0764 0000
0000 0000 0101 0000
0000 0000 022e 0000
0000 0000 048c 0000
0000 0000 03d8 02aa
0000 0000 00b5 037d
0000 0000 0000 0188
0127 0000 0000 0000
02a1 0000 0000 0000
0c2f 0291 0000 0000
1d1b 2540 0000 0000
225c 0bca 0000 0000
04c1 0019 0000 0000
0369 00c8 0000 0000
0334 0105 0000 0000
0365 0089 0000 0000
0120 027b 00f6 0000
02b5 018a 0000 0000
038c 029d 0000 0000
03e5 0000 0000 0000
03d7 0000 0000 0000
0581 03dd 0000 0000
09db 0000 0000 0000
076d 0000 0000 0000
1288 0000 0000 0013
1104 0000 0000 0000
0b92 0000 0000 0000
01ee 0000 0000 0000
0000 0000 074a 0000
0000 0000 0e6c 0000
0000 0000 0c89 0000
0000 0000 09d7 0000
0000 0000 0c11 0000
0000 0000 093e 01af
0000 0000 02e0 031f
0000 0000 0000 0283
0105 0000 0000 012b
02b1 0000 0000 0000
06c8 0000 0000 0000
1252 1040 0000 0000
1a64 1f2f 0000 0000
1677 0b68 0000 0000
0316 0031 0000 0000
0423 0199 0000 0000
041b 000a 0000 0000
0424 0090 0000 0000
0000 058b 033d 0000
00b8 0287 0000 0000
040d 034d 0000 0000
0482 0109 0000 0000
044b 0000 0000 0000
03c3 01f4 0000 0000
050b 0444 0000 0000
03fa 0000 0000 0000
06ea 0000 0000 0000
1386 0000 0000 0000
125b 0000 0000 001b
0769 0000 0000 0067
0106 0000 0000 00ad
0000 0000 0251 008d
0000 0000 02b2 016f
0000 0000 0441 0100
0000 0000 03e6 0208
0000 0000 0155 0303
0000 0000 0000 0259
0000 0000 0000 0177
03bc 0000 0000 00d1
079f 0000 0000 0000
0ef7 0000 0000 0000
187d 156f 0000 0000
2028 135e 0000 0000
0dad 047e 0000 0000
03a6 0017 0000 0000
03e4 017c 0000 0000
05b9 0000 0000 0000
03b4 0000 0000 0000
036d 048f 0000 0000
0009 04f7 0000 0000
046b 035b 0000 0000
04bf 0147 0000 0000
031c 0000 0000 0000
0407 0000 0000 0000
0488 0294 0000 0000
02cb 0143 0000 0000
052a 0000 0000 0000
073b 0000 0000 0000
101e 0000 0000 0000
0e6e 0000 0000 0309
086c 0000 0000 0294
02f8 0000 0000 02fc
0000 0000 0000 03fc
0000 0000 0000 02e0
0000 0000 0000 0393
0003 0000 0000 032d
02db 0000 0000 01c4
06aa 0000 0000 0092
0948 0000 0000 0000
0c9d 0000 0000 0000
145c 09e2 0000 0000
1ce8 11c1 0000 0000
1b76 0dd2 0000 0000
0c67 03a1 0000 0000
038d 0201 0000 0000
03fa 01ba 0000 0000
033e 00ca 0000 0000
01eb 0000 0174 0000
