--- INICIO DO CALCULO DO NEURONIO ---
Tempo (ps) | Endereco | Dado (hex) | Peso (hex) | Acumulador
  18700000 |      454 |         77 |         fc |  -6146
  18730000 |      455 |         47 |         02 |  -6622
  18760000 |      456 |         c4 |         f5 |  -6480
  18790000 |      457 |         c4 |         fb |  -5820
  18820000 |      458 |         1f |         fe |  -5520
  18850000 |      459 |         16 |         f3 |  -5582
  18880000 |      460 |         16 |         80 |  -5868
  18910000 |      461 |         30 |         f2 |  -8684
  18940000 |      462 |         16 |         0a |  -9356
  18970000 |      463 |         16 |         0c |  -9136
  19000000 |      464 |         b7 |         a1 |  -8872
  19030000 |      465 |         c1 |         07 |  -1937
  19060000 |      466 |         8e |         10 |  -2378
  19090000 |      467 |         8e |         0e |  -4202
  19120000 |      468 |         36 |         db |  -5798
  19150000 |      469 |         6f |         05 |  -7796
  19180000 |      470 |         c2 |         0e |  -7241
  19210000 |      471 |         95 |         0b |  -8109
  19240000 |      472 |         99 |         64 |  -9286
  19270000 |      473 |         e5 |         ee | -19586
  19300000 |      474 |         2e |         fb | -19100
  19330000 |      475 |         4d |         ec | -19330
  19360000 |      476 |         2e |         fc | -20870
  19390000 |      477 |         0e |         c3 | -21054
  19420000 |      478 |         96 |         f4 | -21908
  19450000 |      479 |         d2 |         fc | -20636
  19480000 |      480 |         0e |         50 | -20452
  19510000 |      481 |         eb |         d4 | -19332
  19540000 |      482 |         35 |         f2 | -18408
  19570000 |      483 |         9c |         17 | -19150
  19600000 |      484 |         db |         59 | -21450
  19630000 |      485 |         35 |         33 | -24743
  19660000 |      486 |         3e |         fc | -22040
  19690000 |      487 |         78 |         de | -22288
  19720000 |      488 |         78 |         ca | -26368
  19750000 |      489 |         e9 |         0a |  32688
  19780000 |      490 |         e9 |         2f |  32458
  19810000 |      491 |         c1 |         df |  31377
  19840000 |      492 |         f0 |         e7 | -32080
  19870000 |      493 |         ea |         b3 | -31680
  19900000 |      494 |         4f |         23 | -29986
  19930000 |      495 |         15 |         0d | -27221
  19960000 |      496 |         2e |         4d | -26948
  19990000 |      497 |         39 |         30 | -23406
  20020000 |      498 |         fb |         e5 | -20670
  20050000 |      499 |         4e |         0b | -20535
  20080000 |      500 |         4e |         22 | -19677
  20110000 |      501 |         fb |         db | -17025
--------------------------------------------------
SCORE FINAL APOS BIAS: -16840
--------------------------------------------------
